artist,song_title,lyrics
21 Savage,Bank Account,got bank account yeah god bank account yeah god bank account yeah god bank account yeah god bank account yeah god bank account god got shooter ready gun yeah fast ready gun yeah god ready gun yeah god ready gun yeah god ready gun yeah god ready gun god yeah dog yeah huh nah real dog straight got house hill dog wan see body nigga get killed dog wet wan tweet nigga get killed dog wet killed dog real dog lil dog bill dog want bil dog chasin mill dog yeah dunk right bitch like dog wet plus shoot like reggie mill dog chopper sting like eel dog fast got bank account yeah god bank account yeah god bank account yeah god bank account yeah god bank account yeah god bank account god got shooter ready gun yeah fast ready gun yeah god ready gun yeah god ready gun yeah god ready gun yeah god ready gun god ruler clip sent ruler hit pull bitch say got ruler dick spray block really ruh rah shit glock cocked really give fuck hit yeah bitch get jiggy keep siggy bitch mad max know got ziggy keep mad mag case nigga wan get busy matte black got bentley got bank account yeah god bank account yeah god bank account yeah god bank account yeah god bank account yeah god bank account god got shooter ready gun yeah fast ready gun yeah god ready gun yeah god ready gun yeah god ready gun yeah god ready gun god seventy five hundred saint laurent jacket bitch careful dumpin ash sucker cuffin action street raised whole bastard
21 Savage,Ghostface Killers,metro boomin want nigga hey automatic auto automatic yeah trunk pew shoot maggot pew pew shoot maggot pump hey thot addy thot love patek arm patek got static static pussy nigga run charm hey ghostface killer killer tang news gang news drug dealer mulsanne top food chain hey trappin cocaine yeah gang shooter name play toll game whole gang kick door man yeah put patek pavé setting addict pavé break mattress baddie addy smash diamond glassy need glass flash yeah michael jackson fashion bitch dabbin yeah shit purpose got bitch slurpin woah pocket hurting nigga servant woo woo lot young nigga lease purchase purchase cut thot give money service wherever whole gang gang yeah tame want fame sure tame think rich got hundred got overload look like sold soul pour four liter got stripe adidas stripe got foreign mamacita known beat mama nigga goin defeated get gun immediate brrt burn coupe italy italy nigga broke pitiful hey automatic auto automatic yeah trunk pew shoot maggot pew pew shoot maggot pump hey thot addy thot love patek arm patek got static static pussy nigga run charm hey ghostface killer killer tang news gang news drug dealer mulsanne top food chain hey trappin cocaine yeah gang shooter name play toll game whole gang kick door man yeah kim jong yeah big bomb wonder bread man make bitch lick crumb yeah audemars piguet flooded got wrist numb bling grab hitstick nigga tryna blitz somethin dope boy dope boy sell coke boy broke as rapper food boy everybody nigga sound alike dick rider fox gang turn candlelight bitch boy mobster shrimp pasta jamaican dada hang shottas mad max nigga yeah hang killer planet ape yeah hang around gorilla god got broad day fuckboy horseplay bitch shrimp as nigga chore today wan take ride coroner today automatic auto automatic yeah trunk pew shoot maggot pew pew shoot maggot pump hey thot addy thot love patek arm patek got static static pussy nigga run charm hey ghostface killer killer tang news gang news drug dealer mulsanne top food chain hey trappin cocaine yeah gang shooter name play toll game whole gang kick door man drop heaven straight wild yeah trunk front top got slide woo ride suicide keep shit alive yeah jumping public house come outside straight private status tryna land jet magic goin lit goin way way cut traffic poppin yeah pop seal pop bean need balance pop pop seein bloody ass seeing way graphic watch finger cactus dangerous yeah broke speak language alright couch tom cruise make see snort mountain rackades outfit make bounce resurrect life yeah cpr pipe yeah please need energy got night yeah lit nike boy three stripe yeah living nigga life yeah automatic auto automatic yeah trunk pew shoot maggot pew pew shoot maggot pump hey thot addy thot love patek arm patek got static static pussy nigga run charm hey ghostface killer killer tang news gang news drug dealer mulsanne top food chain hey trappin cocaine yeah gang shooter name play toll game whole gang kick door man
21 Savage,Glock in My Lap,glock lap everywhere strapped rapper cap givin dap glenwood flat used rob trap money tall shaq choppa bullet splat chuck cheese rat get rodent whacked way many stepper hold back body full scar face full tat pray knee pray strap
21 Savage,No Heart,southside southside southside hey metro boomin want nigga young savage trappin hard nigga cappin hard got twelve car garage pullin rapper card nigga pussy hard turn fuckin soft hard grew street without heart prayin glock carbon sit back read like cat hat savage cat mac savage boyz hood pull shoot as back stuart little heard nigga rat pocket full cheese bitch got rack real street nigga bitch one nigga bangin wax pussy nigga love sneak dissin pull slap fire wet mama house wet grandma house keep shootin somebody die many shot neighbor looked calendar thought fourth july friend playin nintendo playin fire seventh grade got caught pistol sent panthersville eighth grade started playin football like fuck field ninth grade knocking nigga nigga like holyfield fast forward nigga screamin fuck deal bad bitch thick even need pill listened rap thought hard even street real nigga love sneak dissin twitter want beef real nigga play like tough nigga get killed nigga get spilled blood get spilled favorite rapper shoot like john dill since day one savage even hatin instagram shit savage playin pussy nigga fakin bitch hang around haitian pull tie kid pistol whip bitch naked come man savage know always play mixtape yeah nigga fuck ask bitch dick taste young savage trappin hard nigga cappin hard got twelve car garage pullin rapper card nigga pussy hard turn fuckin soft hard grew street without heart prayin glock carbon much dope broke scale say crack kill nigga crack sell brother kitchen wrappin bale louis bag louis belt chain swangin diamond blangin hold pistol swangin gang bangin hold nigga actin like groupie know little know bitch fuckin tour bus young savage trappin hard nigga cappin hard got twelve car garage pullin rapper card nigga pussy hard turn fuckin soft hard grew street without heart grew street without heart much dope broke scale say crack kill nigga crack sell brother kitchen wrappin bale louis bag louis belt
21 Savage,Red Opps,yeah yeah yeah pull roll window pop pop pop pop pop pull roll window pop pop pop pop pop pull roll window pew pew pew bought pistol got round pew pew pew pull momma house put round fah fah fah fah fah wet nigga block watch nigga drown skrrt hunnid round drum gun nigga slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit take nigga bitch nigga bitch ran shit real right blood nigga counterfeit pull ave pussy boy get dipped bought brand new drop poured drop young savage real street nigga block bitch keep leg closed want top pull pew pew pew pew gon call cop bought pistol got round pew pew pew pull momma house put round fah fah fah fah fah wet nigga block watch nigga drown skrrt hunnid round drum gun nigga slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit two gun give fuck big dog lil nigga pup pull spot walk shoot bitch molly yeah got booted gang said trappin heard lie bitch baking soda cold water cut stove scrape side bitch keep skinny bitch like fat as thigh bitch young savage baby daddy know try bought pistol got round pew pew pew pull momma house put round fah fah fah fah fah wet nigga block watch nigga drown skrrt hunnid round drum gun nigga slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit shit murder gang shit shit slaughter gang shit murder gang shit slaughter gang shit murder gang shit slaughter gang shit murder gang shit slaughter gang shit murder gang shit
21 Savage,X,ten bad bitch mansion wrist milly rock diamond dancin workin hard money start expandin got model bitch wan lick like candy drug come handy last name savage bitch randy hit condom make eat plan sippin codeine brandy hah hah stuntin bitch hah hah hah hah hold flexin bitch hold hah hah hold stuntin bitch hold hold hold hold hold flexin bitch fuck wedding ring bought necklace diamond got flu try catch left alone ratchet hah woah woah bitch salty stand hah woah flexin bitch hold flexin bitch hah bought necklace bitch hold friend gon lick like fruit roll roll roll feeling grow savage flexin bitch hold hold textin back bitch hold way way stressin bitch hold savage gon get stick hold hold hold bitch like ball like ball hold hold without weave bald hold bitch bitch spent rent inside mall hold got nigga broke lost savage hold private location hold hold put back rotation woo hold bitch immigration hold goin hah hah stuntin bitch hah hah hah hah hold flexin bitch hold hah hold stuntin bitch hold hold hold hold hold hold hold nigga flexin bitch fuck wedding ring bought necklace diamond got flu try catch left alone ratchet hah hah hah bitch salty stand woo hah woah hold hold bitch rolex fleek fleek hold bitch diamond fleek bling blaow hold got gold teeth hold teeth teeth hold got rainbow foot broke bitch savage hold corny nigga impress hold never let bitch dress hold motherfuckin judge check hold give fuck ring yeah hold money make old bitch hate hold hold bitch still stay section broke bitch hold new bitch wetter lake wet fuck hold love let paint face hold fell love good throat hold fell love good throat hold ripped confidential paper hold done made wake savage hold yeah hah hah stuntin bitch hah hah hah hah hold flexin bitch hold hah hold stuntin bitch hold hold hold hold hold hold flexin bitch savage fuck wedding ring bought necklace diamond got flu try catch left alone ratchet hah hah hah bitch salty stand hah ten bad bitch mansion wrist milly rock diamond dancin workin hard money start expandin young metro trust gon shoot drug come handy last name hendrix bitch jimi hit condom shipped right back country sippin codeine tat stomach
21 Savage,a lot,much money got lot many problem got lot many people done doubted lot left rot lot many pray flop lot many lawyer got lot many time got shot lot many nigga shot lot many time ride lot many nigga done died lot many time cheat lot many time lie lot many time leave lot many time cry lot many chance done gave fuck around thots lot break break break break break break break break break break break break break break break break
21 Savage,ball w/o you,gave dawg dawg would went war world call call thought back nah let fall let fall healed pain pain caused caused got ball without straight got ball straight got ball without got ball got ball without ball got ball got ball got ball without got ball crossed fuck forever straight middle school got heart broke stop writin love letter heart cold yeah cold buy moncler sweater god valentine day ripped card urinated rose petal damn rock heavy metal shit fact thought love woke epiphany keep fame keep love give loyalty god nefertiti king tut treat like royalty fact wish love would fade away even smoke clear stay ever let nigga take place would around minimum wage gave dawg dawg would went war world call call thought back nah let fall let fall healed pain pain caused caused got ball without straight got ball straight got ball without got ball got ball without ball got ball got ball got ball without got ball
21 Savage,can’t leave without it,yeah vvs look like star yeah took top car yeah abide law know done saw saw leave without leave without keep stick war stick check deposit check deposit money stick boy lot model bitch check nigga check got check kept stick like hobo checkin way back spot trestletree many hoe get vasectomy left body home brought neck walk sent jet nigga show price less travel fee one arm worth ticket watch much car came back day used rob mask shit wrist woulda killed whole house went school high class though ogs learnin glass bowl caught deuce five mama kicked as bro break leave brain dashboard ced lil baby yeah got four chopper full way rappin god trappin sneakin glock lacura god got osama bin laden lil nigga signed shit straight gang reach chain nigga gon die bitch god wagen nigga doin big cappin friendly shit closest thing gettin handshake beat clappin mama gon make gofundme nigga keep sneak jabbin straight gucci kill whole wood make young savage motherfuckin mink jacket vvs look like star yeah took top car yeah abide law know done saw saw leave without leave without keep stick war stick check deposit check deposit money stick boy stick cash cash cash cash lookin clout nah knew would figure knew took millionaire route run popped pill got head cloud huh say name bring crowd crowd got paid family proud god drippin drip since child hit bitch jump cartier bracelet come get swag atlanta run make boy swing stick like tomahawk runnin shit fuck talkin skinny jean stuffed hundred poke robot real one running nobody hellcat fast know show sparin bitch give fuck blowout wanted smoke boy could still gettin money label know court side vibe toe rich nigga come straight poor house trap goin crazy right morehouse dead end ced mohawk bought benz doubled back bought trackhawk savage doin donut skrrt youngins got fire gon nut quarter million baby blue goyard buy cash motor drive fast pullin play bag tell odor alcohol get new soda vvs look like star yeah took top car yeah abide law know done saw saw leave without leave without keep stick war stick check deposit check deposit money stick boy yeah nigga tryna drip like boy yeah boy got get award yeah award live bank fraud yeah fraud two hundred rack arm yeah fuckin superstar yeah star pussy good buy car yeah car nigga makin noise yeah noise nigga makin noise
21 Savage,monster,power money fame make monster monster power money fame make monster monster low blow belt low blow low blow gon try blame yolo yolo nigga tryna rap beef rap beef givin free promo cuffin cop like robo robo pas gang like romo romo brand new solo solo finna shoppin soho could dump middle ocean still comin dry dry leave jungle bear tiger comin fly fly take stand brother put hand bible still gon lie god fame world money world stop cry straight pain hunger made savage savage came bottom disadvantaged started livin dream dream shit turned addict addict money shawty got booty grab grab fast lane tryna dodge traffic skrrt skrrt never dodged static god war wound got scar teacher told would nothin went far could pay salary ten year one car pain struggle made superstar power money fame make monster monster power money fame make monster monster
